year;month;male;female;number;age mother
1950;january;33504;33511;67015;
1950;february;47177;44298;91475;
1950;march;53604;49499;103103;
1950;april;49606;46030;95636;
1950;may;50932;47046;97978;
1950;june;47795;44566;92361;
1950;july;47377;44324;91701;
1950;august;46297;43163;89460;
1950;september;47342;44363;91705;
1950;october;47370;43885;91255;
1950;november;45319;42065;87384;
1950;december;45867;42940;88807;
1951;january;48747;45169;93916;
1951;february;46034;43054;89088;
1951;march;51546;47987;99533;
1951;april;48568;45721;94289;
1951;may;51257;47832;99089;
1951;june;48082;44531;92613;
1951;july;48104;45423;93527;
1951;august;46619;44191;90810;
1951;september;46892;43785;90677;
1951;october;46144;43279;89423;
1951;november;43521;40671;84192;
1951;december;46185;43038;89223;
1952;january;49430;45802;95232;
1952;february;48218;45256;93474;
1952;march;52374;48948;101322;
1952;april;49339;46092;95431;
1952;may;49970;46624;96594;
1952;june;46570;43251;89821;
1952;july;47445;44735;92180;
1952;august;45717;43107;88824;
1952;september;47560;44540;92100;
1952;october;45077;41963;87040;
1952;november;44318;41497;85815;
1952;december;45134;42117;87251;
1953;january;48762;45878;94640;
1953;february;45993;42934;88927;
1953;march;51863;48831;100694;
1953;april;48983;45909;94892;
1953;may;50261;47167;97428;
1953;june;47266;43922;91188;
1953;july;47554;44688;92242;
1953;august;45574;42981;88555;
1953;september;47423;44422;91845;
1953;october;44129;41869;85998;
1953;november;41667;38722;80389;
1953;december;45454;42777;88231;
1954;january;49374;45922;95296;
1954;february;46442;44240;90682;
1954;march;51116;47245;98361;
1954;april;49118;46291;95409;
1954;may;51948;48596;100544;
1954;june;47975;44911;92886;
1954;july;48350;45317;93667;
1954;august;46817;44027;90844;
1954;september;47434;44213;91647;
1954;october;44235;41978;86213;
1954;november;44121;41345;85466;
1954;december;45629;43099;88728;
1955;january;48920;45879;94799;
1955;february;46908;43699;90607;
1955;march;52337;49558;101895;
1955;april;49525;45827;95352;
1955;may;50317;47388;97705;
1955;june;48065;45074;93139;
1955;july;48073;44571;92644;
1955;august;46829;44107;90936;
1955;september;47581;44341;91922;
1955;october;46060;43208;89268;
1955;november;44361;41474;85835;
1955;december;46103;43203;89306;
1956;january;49009;45921;94930;
1956;february;49507;46494;96001;
1956;march;53872;50950;104822;
1956;april;49671;47230;96901;
1956;may;51840;48505;100345;
1956;june;47419;44123;91542;
1956;july;49070;46252;95322;
1956;august;47689;44789;92478;
1956;september;48296;45516;93812;
1956;october;46313;43722;90035;
1956;november;46094;42977;89071;
1956;december;47347;44563;91910;
1957;january;50451;46879;97330;
1957;february;48828;45789;94617;
1957;march;53725;50749;104474;
1957;april;52096;48769;100865;
1957;may;52779;49268;102047;
1957;june;50134;47296;97430;
1957;july;49613;46569;96182;
1957;august;48667;45332;93999;
1957;september;50597;47261;97858;
1957;october;49181;45938;95119;
1957;november;46610;43629;90239;
1957;december;49360;46035;95395;
1958;january;52132;49176;101308;
1958;february;49458;45897;95355;
1958;march;56123;52955;109078;
1958;april;51114;47717;98831;
1958;may;53326;49590;102916;
1958;june;47464;44251;91715;
1958;july;46900;44122;91022;
1958;august;47978;45335;93313;
1958;september;52771;49462;102233;
1958;october;49695;46680;96375;
1958;november;48541;45480;94021;
1958;december;51593;48110;99703;
1959;january;54487;50764;105251;
1959;february;52466;49275;101741;
1959;march;57974;54838;112812;
1959;april;56064;52468;108532;
1959;may;56215;52969;109184;
1959;june;52798;49779;102577;
1959;july;53562;50444;104006;
1959;august;51909;48658;100567;
1959;september;53143;50343;103486;
1959;october;51763;48133;99896;
1959;november;49188;46316;95504;
1959;december;51808;48558;100366;
1960;january;54289;50853;105142;
1960;february;54491;51615;106106;
1960;march;58142;55292;113434;
1960;april;55235;52112;107347;
