year;month;male;female;number;age
1950;january;33504;33511;67015
1950;february;33142;33119;66261
1950;march;35685;36082;71767
1950;april;32922;33146;66068
1950;may;32312;31782;64094
1950;june;29368;28880;58248
1950;july;28298;27846;56144
1950;august;28121;27242;55363
1950;september;27068;25969;53037
1950;october;29801;29062;58863
1950;november;31481;32105;63586
1950;december;33621;34262;67883
1951;january;38485;39223;77708
1951;february;34867;35678;70545
1951;march;36482;36651;73133
1951;april;32595;32237;64832
1951;may;31432;31007;62439
1951;june;29440;28126;57566
1951;july;28998;27621;56619
1951;august;28166;26744;54910
1951;september;26422;25169;51591
1951;october;30992;29596;60588
1951;november;30057;29215;59272
1951;december;32219;31275;63494
1952;january;34959;34017;68976
1952;february;32996;33208;66204
1952;march;37786;38448;76234
1952;april;36869;37931;74800
1952;may;31295;30452;61747
1952;june;29209;28454;57663
1952;july;30739;29455;60194
1952;august;28197;27364;55561
1952;september;27606;26326;53932
1952;october;30984;30090;61074
1952;november;30799;30025;60824
1952;december;35564;34866;70430
1953;january;40965;40592;81557
1953;february;47848;48345;96193
1953;march;39721;39749;79470
1953;april;32203;31833;64036
1953;may;32049;30898;62947
1953;june;29257;27809;57066
1953;july;28906;27155;56061
1953;august;28199;26527;54726
1953;september;27476;25860;53336
1953;october;29670;28516;58186
1953;november;30515;29645;60160
1953;december;33564;33352;66916
1954;january;38677;38902;77579
1954;february;38248;38731;76979
1954;march;36575;36447;73022
1954;april;32111;31409;63520
1954;may;32728;32415;65143
1954;june;29671;28624;58295
1954;july;29397;27860;57257
1954;august;29049;27572;56621
1954;september;27951;26373;54324
1954;october;31701;30039;61740
1954;november;32198;30490;62688
1954;december;34304;33819;68123
1955;january;37029;36385;73414
1955;february;35626;36246;71872
1955;march;41327;42300;83627
1955;april;33997;33521;67518
1955;may;33498;32430;65928
1955;june;32343;30898;63241
1955;july;30681;29254;59935
1955;august;30196;28235;58431
1955;september;28778;26767;55545
1955;october;32288;30115;62403
1955;november;32800;31580;64380
1955;december;35560;34084;69644
1956;january;36141;34743;70884
1956;february;39075;38243;77318
1956;march;42522;41946;84468
1956;april;37294;36169;73463
1956;may;35503;34181;69684
1956;june;31366;29434;60800
1956;july;32314;30099;62413
1956;august;30337;28328;58665
1956;september;30081;28188;58269
1956;october;31936;30248;62184
1956;november;33603;31995;65598
1956;december;34987;33378;68365
1957;january;37257;36348;73605
1957;february;32841;32401;65242
1957;march;37849;37354;75203
1957;april;34581;33798;68379
1957;may;34945;33054;67999
1957;june;32845;31513;64358
1957;july;33662;31829;65491
1957;august;31471;29088;60559
1957;september;33282;30462;63744
1957;october;45223;41387;86610
1957;november;36079;33734;69813
1957;december;40430;38762;79192
1958;january;42170;41185;83355
1958;february;38898;37618;76516
1958;march;40307;39355;79662
1958;april;36056;35420;71476
1958;may;34062;32527;66589
1958;june;31273;29571;60844
1958;july;31254;29809;61063
1958;august;30282;28349;58631
1958;september;29250;27395;56645
1958;october;32701;31176;63877
1958;november;33423;32494;65917
1958;december;37461;36382;73843
1959;january;36517;35855;72372
1959;february;35570;34451;70021
