year;age;number
2009;under 15;53
2009;15;244
2009;16;917
2009;17;2142
2009;18;4009
2009;19;7704
2009;20;10976
2009;21;14690
2009;22;17610
2009;23;20809
2009;24;23986
2009;25;28564
2009;26;33230
2009;27;38506
2009;28;42258
2009;29;45767
2009;30;45855
2009;31;45873
2009;32;44249
2009;33;41179
2009;34;36915
2009;35;32905
2009;36;28660
2009;37;25023
2009;38;21485
2009;39;16872
2009;40;13056
2009;41;9157
2009;42;5618
2009;43;3327
2009;44;1796
2009;45;907
2009;46;393
2009;47;168
2009;48;100
2009;49;51
2009;50 and more;72
2009;unknown;0
2010;under 15;55
2010;15;230
2010;16;870
2010;17;2039
2010;18;3849
2010;19;7009
2010;20;10741
2010;21;13836
2010;22;17497
2010;23;20572
2010;24;24330
2010;25;28493
2010;26;33129
2010;27;37641
2010;28;42972
2010;29;46445
2010;30;49114
2010;31;47942
2010;32;46036
2010;33;43480
2010;34;39299
2010;35;34287
2010;36;29867
2010;37;24677
2010;38;20745
2010;39;17363
2010;40;13238
2010;41;9319
2010;42;5837
2010;43;3367
2010;44;1800
2010;45;977
2010;46;444
2010;47;211
2010;48;83
2010;49;62
2010;50 and more;91
2010;unknown;0
2011;under 15;52
2011;15;267
2011;16;794
2011;17;1823
2011;18;3447
2011;19;6382
2011;20;9290
2011;21;13225
2011;22;15729
2011;23;19480
2011;24;23117
2011;25;27805
2011;26;31660
2011;27;35822
2011;28;40703
2011;29;45359
2011;30;47953
2011;31;49576
2011;32;46594
2011;33;43114
2011;34;39792
2011;35;35251
2011;36;29771
2011;37;24930
2011;38;19512
2011;39;16314
2011;40;13049
2011;41;8998
2011;42;5702
2011;43;3452
2011;44;1840
2011;45;989
2011;46;426
2011;47;192
2011;48;104
2011;49;64
2011;50 and more;107
2011;unknown;0
2012;under 15;52
2012;15;253
2012;16;797
2012;17;1818
2012;18;3294
2012;19;5973
2012;20;9204
2012;21;11976
2012;22;15697
2012;23;18710
2012;24;23363
2012;25;27678
2012;26;33059
2012;27;36334
2012;28;40723
2012;29;44226
2012;30;49427
2012;31;50623
2012;32;49793
2012;33;45069
2012;34;41191
2012;35;36655
2012;36;31652
2012;37;25248
2012;38;20330
2012;39;15758
2012;40;12593
2012;41;8901
2012;42;5761
2012;43;3473
2012;44;1901
2012;45;983
2012;46;510
2012;47;218
2012;48;137
2012;49;71
2012;50 and more;92
2012;unknown;1
2013;under 15;46
2013;15;265
2013;16;786
2013;17;1726
2013;18;3394
2013;19;5716
2013;20;8391
2013;21;11102
2013;22;13933
2013;23;18626
2013;24;22182
2013;25;28047
2013;26;32977
2013;27;37331
2013;28;40965
2013;29;44709
2013;30;47866
2013;31;51553
2013;32;50880
2013;33;48371
2013;34;43096
2013;35;38461
2013;36;32793
2013;37;27034
2013;38;21159
2013;39;16457
2013;40;12271
2013;41;8667
2013;42;5784
2013;43;3449
2013;44;1972
2013;45;998
2013;46;487
2013;47;276
2013;48;109
2013;49;73
2013;50 and more;117
2013;unknown;0
2014;under 15;66
2014;15;278
2014;16;812
2014;17;1915
2014;18;3371
2014;19;5647
2014;20;8201
2014;21;10724
2014;22;13687
2014;23;17130
2014;24;22777
2014;25;27692
2014;26;34383
2014;27;38900
2014;28;43795
2014;29;47138
2014;30;50617
2014;31;52905
2014;32;54074
2014;33;51327
2014;34;47707
2014;35;41286
2014;36;35199
2014;37;29002
2014;38;23113
2014;39;17622
2014;40;13176
2014;41;8771
2014;42;5902
2014;43;3649
2014;44;1935
2014;45;999
2014;46;545
2014;47;250
2014;48;148
2014;49;66
2014;50 and more;118
2014;unknown;0
