year;age;number
2010;< 1;2322
2010;1 - 5;554
2010;6 - 10;294
2010;11 - 15;442
2010;16 - 20;1357
2010;21 - 25;1876
2010;26 - 30;2267
2010;31 - 35;2733
2010;36 - 40;4628
2010;41 - 45;9932
2010;46 - 50;17474
2010;51 - 55;25847
2010;56 - 60;35350
2010;61 - 65;41492
2010;66 - 70;73039
2010;71 - 75;105032
2010;76 - 80;122317
2010;81 - 85;158298
2010;86 - 90;158717
2010;91 - 94;48656
2010;>= 95;46141
2011;< 1;2408
2011;1 - 5;541
2011;6 - 10;303
2011;11 - 15;416
2011;16 - 20;1306
2011;21 - 25;1919
2011;26 - 30;2147
2011;31 - 35;2654
2011;36 - 40;4208
2011;41 - 45;9151
2011;46 - 50;17131
2011;51 - 55;25767
2011;56 - 60;35478
2011;61 - 65;42610
2011;66 - 70;66220
2011;71 - 75;105240
2011;76 - 80;121199
2011;81 - 85;156956
2011;86 - 90;155688
2011;91 - 94;58602
2011;>= 95;42384
2012;< 1;2202
2012;1 - 5;505
2012;6 - 10;261
2012;11 - 15;401
2012;16 - 20;1173
2012;21 - 25;1799
2012;26 - 30;1993
2012;31 - 35;2584
2012;36 - 40;3793
2012;41 - 45;8677
2012;46 - 50;16699
2012;51 - 55;25475
2012;56 - 60;35144
2012;61 - 65;45926
2012;66 - 70;59984
2012;71 - 75;106287
2012;76 - 80;124358
2012;81 - 85;160966
2012;86 - 90;158974
2012;91 - 94;73098
2012;>= 95;39283
2013;< 1;2250
2013;1 - 5;508
2013;6 - 10;277
2013;11 - 15;378
2013;16 - 20;1142
2013;21 - 25;1645
2013;26 - 30;2045
2013;31 - 35;2735
2013;36 - 40;3784
2013;41 - 45;8055
2013;46 - 50;16299
2013;51 - 55;26453
2013;56 - 60;35927
2013;61 - 65;47962
2013;66 - 70;58497
2013;71 - 75;106954
2013;76 - 80;131383
2013;81 - 85;162910
2013;86 - 90;162102
2013;91 - 94;86289
2013;>= 95;36230
2014;< 1;2284
2014;1 - 5;447
2014;6 - 10;247
2014;11 - 15;373
2014;16 - 20;1098
2014;21 - 25;1613
2014;26 - 30;1920
2014;31 - 35;2739
2014;36 - 40;3630
2014;41 - 45;7438
2014;46 - 50;15612
2014;51 - 55;25743
2014;56 - 60;35598
2014;61 - 65;48448
2014;66 - 70;55457
2014;71 - 75;100910
2014;76 - 80;133133
2014;81 - 85;152278
2014;86 - 90;156146
2014;91 - 94;90101
2014;>= 95;33141
